Name,Size,Type,Alignment,Habitat,MainHabitat,OtherHabitat,Treasure,AC,HP,Initiative,Walk,Burrow,Climb,Fly,Hover,Swim,STR,INT,DEX,WIS,CON,CHA,STR_Save,INT_Save,DEX_Save,WIS_Save,CON_Save,CHA_Save,Proficient,Expertise,Vulnerabilities,Slashing,ImmunitiesConditions,ImmunitiesDamage,Blindsight,Darkvision,Truesight,Tremorsense,PassivePerception,Languages,CR,XP,PB,Traits,NumberOfLegendaryResistance,NumberOfAtk,Atk1Type,Atk1Mod,Atk1Range,Atk1RangeShort,Atk1Damage,Atk1DamageType,Atk2Type,Atk2Mod,Atk2Range,Atk2RangeShort,Atk2Damage,Atk2DamageType,Atk3Type,Atk3Mod,Atk3Range,Atk3RangeShort,Atk3Damage,Atk3DamageType,Atk4Type,Atk4Mod,Atk4Range,Atk4RangeShort,Atk4Damage,Atk4DamageType,SaveDC,SavingThrow,ActionNotes,Ability,SpellSaveDC,SpellSavingThrows,SpellAttack,AtWill,ThreePerDay,TwoPerDay,OnePerDay,BonusAction,Reaction,Amount,LegendaryActionSaveDC,LegendaryActionSavingThrow,LegendaryActions,Lair,xp,LegendaryResistance,LegendaryActions,LairSaveDC,LairSavingThrows,Other
Arch-hag,Large,Fey (Hag),Neutral Evil,Any,Any,,Arcana,20,333,16,40,,,,,,7,4,2,4,6,7,7,4,9,11,6,7,"Deception, Perception",Persuasion,,"Cold, Fire, Psychic","Charmed, Exhaustion, Frightened",,,,60,,21,All,21,"33,000",7,"Coven Magic, Magic Resistance, Spiteful Escape",4,3,Melee,14,10,,17,Force,Ranged,14,60,60,17,Force,,,,,,,,,,,,,22,Dexterity,"Ark 1 makes the target prone, 60ft coone on fail 32 lightning damage and the target is cursed and can't take reactions",Charisma,22,"Constitution, Wisdom",14,"Counterspell, Detect Thoughts, Dimension Door, Dispel Magic, Hypnotic Pattern",,"Mass Suggestion, Modify Memory, Plane Shift",,Cursed target takes 14 lighting damage,"Cast Counterspell, make curse worst and casters cannot cast spells with verbal component",3,,,"Make an attack, cast Dimension Door or Hypnotic Pattern",Yes,"41,000",5,4,,,Causes targets to cast confusion on themselves
Archelon,Huge,Beast (Dinosaur),Unaligned,Underwater,Underwater,,None,17,90,3,20,,,,,80,4,-3,3,2,1,-2,4,-3,3,2,1,-2,Stealth,,,,,,,,,,12,None,4,"1,100",2,Amphibious,,2,Melee,6,5,,14,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archmage,Medium or Smaller,Humanoid (wizard),Neutral,Any,Any,,"Arcana, Individual",17,170,7,30,,,,,,0,5,2,2,1,3,0,9,2,6,1,3,"History, Perception",Arcana,,,Charmed,Psychic,,,,,16,Common plus five other languages,12,"8,000",4,Magic Resistance,,4,Melee,9,5,,27,Force,Ranged,9,150,150,27,Force,,,,,,,,,,,,,,,,Intelligence,17,"Constitution, Dexterity, Wisdom",9,"Detect Magic, Detect Thoughts, Disguise Self, Invisibility, Light, Mage Armour, Mage Hand, Prestidigitation","Counter Spell, Misty Step, Shield","Fly, Lightning Bolt","Cone of Cold (level 9), Mind Blank, Scrying, Teleport",Misty Step cast misty step,Protective Magic cast counterspell or shield,,,,,,,,,,,
Archpriest,Medium or Smaller,Humanoid (Cleric),Neutral,Any,Any,,"Individual, Relics",16,240,5,30,,,,,,3,2,1,5,3,2,7,6,1,9,7,2,"Insight, Medicine, Perception",Religion,,,,,,,,,19,Common plus two other languages,12,"8,400",4,,,3,Melee,9,5,,27,Radiant,Ranged,9,60,60,27,Radiant,,,,,,,,,,,,,17,Wisdom,Holy Word recharges 4-6 within 20ft on fail 21 radiant damage and stunned,Wisdom,17,"Charisma, Dexterity",9,"Light, Thaumaturgy","Bless, Dispel Magic, Healing Word, Lesser Restoration",,"Flame Strike (level 6), Greater Restoration, Raise Dead, Zone of Truth","Divine Aid 3/day cast Bless, Dispel Magic, Healing Word, or Lesser Restoration",,,,,,,,,,,,
Assassin,Medium or Smaller,Humanoid,Neutral,Any,Any,,"Implements, Individual",16,97,10,30,,,,,,0,3,4,0,2,0,0,6,7,0,2,0,Acrobatics,"Perception, Stealth",,Poison,,,,,,,16,"Common, Thieves' Cant",8,"3,900",8,Evasion,,3,Melee,7,5,,24,"Piercing, Poison",Ranged,7,80/320,80,29,"Piercing, Poison",,,,,,,,,,,,,,,Atk 1 on hit poisoned,,,,,,,,,Cunning Action take the dash disengage or hide action,,,,,,,,,,,,
Awakened Shrub,Small,Plant,Neutral,Forest,Forest,,None,9,10,-1,20,,,,,,-4,0,-1,0,0,2,-4,0,-1,0,0,2,,,Fire,Piercing,,,,,,,10,Common plus one other language,0,10,2,,,1,Melee,1,5,,1,Slashing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awakened Tree,Huge,Plant,Neutral,Forest,Forest,,None,13,59,-2,20,,,,,,4,0,-2,0,2,-2,4,0,-2,0,2,-2,,,Fire,"Bludgeoning, Piercing",,,,,,,10,Common plus one other language,2,450,2,,,1,Melee,6,10,,14,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axe Beak,Large,Monstrosity,Unaligned,"Arctic, Grassland, Hill","Arctic, Grassland, Hill",,None,11,19,1,50,,,,,,2,-4,1,0,1,-3,2,-4,1,0,1,-3,,,,,,,,,,,10,None,1/4,50,2,,,1,Melee,4,5,,6,Slashing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azer Pyromancer,Medium,Elemental,Lawful Neutral,"Mountain, Planar (Elemental Plane of Fire)","Mountain, Planar",Elemental Plane of Fire,"Armaments, Individual",18,97,2,30,,,,,,2,1,2,4,3,1,2,1,2,7,6,1,"Arcana, Perception",,,,Poisoned,"Fire, Poison",,,,,17,Primordial (Ignan),6,"2,300",3,"Fire Aura, Illumination",,2,Melee,7,5,,15,Fire,Ranged,7,120,120,15,Fire,,,,,,,,,,,,,,,,Wisdom,15,Dexterity,7,"Elementalism, Mage Hand",,Hellish Rebuke,Fireball,,Hellish Rebuke cast Hellish Rebuke,,,,,,,,,,,
Azer Sentinel,Medium,Elemental,Lawful Neutral,"Mountain, Planar (Elemental Plane of Fire)","Mountain, Planar",Elemental Plane of Fire,"Armaments, Individual",17,39,1,30,,,,,,3,1,1,1,2,0,3,1,1,1,4,0,,,,,Poisoned,"Fire, Poison",,,,,11,Primordial (Ignan),2,450,2,"Fire Aura, Illumination",,1,Melee,5,5,,11,"Bludgeoning, Fire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baboon,Small,Beast,Unaligned,"Forest, Hill","Forest, Hill",,None,12,3,2,30,,30,,,,-1,-3,2,1,0,-3,-1,-3,2,1,0,-3,,,,,,,,,,,11,None,0,10,2,Pack Tactics,,1,Melee,1,5,,1,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badger,Tiny,Beast,Unaligned,Forest,Forest,,None,11,5,0,20,5,,,,,0,-4,0,1,3,-3,0,-4,0,1,3,-3,Perception,,,Poison,,,,30,,,13,None,0,10,2,,,1,Melee,2,5,,1,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balor,Huge,Fiend (Demon),Chaotic Evil,Planar (Abyss),Planar,Abyss,Armaments,19,287,14,40,,,80,,,8,5,2,3,6,6,8,5,2,9,12,6,Perception,,,"Cold, Lightning","Charmed, Frightened, Poisoned","Fire, Poison",,,120,,19,"Abyssal, Telepathy",19,"22,000",6,"Death Throes, Fire Aura, Magic Resistance",3,2,Melee,14,30,,35,"Force, Fire",Melee,14,10,,43,"Force, Lightning",,,,,,,,,,,,,22,Dexterity,"Akt 1 target gets pulled 25ft and make prone, Akt 2 the target cannot take reactions",,,,,,,,,Teleport and an ally up to 60ft,,,,,,,,,,,,
Bandit,Medium or Smaller,Humanoid (Bandit),Neutral,Any,Any,,Any,12,11,1,30,,,,,,0,0,1,0,1,0,0,0,1,0,1,0,,,,,,,,,,,10,"Common, Thieves' Cant",1/8,25,2,,,1,Melee,3,5,,4,Slashing,Ranged,3,80/320,80,5,"Piercing, Poison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Captain,Medium or Smaller,Humanoid (Bandit),Neutral,Any,Any,,Any,15,52,3,30,,,,,,2,2,3,0,2,2,4,2,5,0,2,2,"Athletics, Deception",,,,,,,,,,10,"Common, Thieves' Cant",2,450,2,,,2,Melee,5,5,,6,Slashing,Ranged,5,30/90,30,8,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,Parry when hit by melee +2 to AC,,,,,,,,,,,
Bandit Crime Lord,Medium or Smaller,Humanoid (Bandit),Neutral,Any,Any,,Any,17,169,9,30,,,,,,0,4,5,2,2,2,0,4,9,2,6,2,Acrobatics,"Perception, Stealth",,,,,,,,,20,"Common, Thieves' Cant",11,"7,200",4,Evasion,,3,Melee,9,5,,26,"Slashing, Poison",Ranged,9,30/90,30,24,"Piercing, Poison",,,,,,,,,,,,,,,,,,,,,,,,Deadly Aim gives itself advantage on its next attack and does an extra 28 poison damage,,,,,,,,,,,,
Bandit Deceiver,Medium or Smaller,Humanoid (Bandit),Neutral,Any,Any,,Any,16,130,6,30,,,,,,-1,3,3,1,2,3,-1,6,6,1,2,3,"Acrobatics, Perception",Stealth,,,,,,,,,14,"Common, Thieves' Cant",7,"2,900",3,,,3,Melee,6,5,,18,Piercing,Ranged,6,20/60,20,18,Piercing,,,,,,,,,,,,,14,Constitution,Blinding Flash recharges on 4-6 in 10ft sphere on fail 13 radiant damage and blinded,Intelligence,14,Wisdom,6,"Disguise Self, Mage Hand, Minor Illusion",,,"Hold Person (level 4), Mage Armor, Major Image",,,,,,,,,,,,,
Banshee,Medium,Undead,Chaotic Evil,Any,Any,,Relics,12,54,2,5,,,40,40,,-5,1,2,0,0,3,-5,1,2,2,0,3,,,,"Acid, Bludgeoning, Fire, Lightning, Piercing, Slashing, Thunder","Charmed, Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained","Cold, Necrotic, Poison",,60,,,10,"Common, Elvish",4,"1,100",2,"Detect Life, Incorporeal Movement",,3,Melee,5,5,,7,Necrotic,,,,,,,,,,,,,,,,,,,13,"Wisdom, Constitution","Horrify within 60ft on fail frightened, Deathly Wail 1/day within 30ft on fail less than 26 hp drops to 0 otherwise 10 psychic damage",,,,,,,,,,,,,,,,,,,,,
Barbed Devil,Medium,Fiend (Devil),Lawful Evil,Planar (Nine Hells),Planar,Nine Hells,Any,15,110,3,30,,30,,,,3,1,3,2,4,2,3,1,3,5,7,5,"Deception, Insight",Perception,,Cold,Poisoned,"Fire, Poison",,120,,,18,"Infernal, Telepathy",5,"1,800",3,"Barbed Hide, Diabolical Restoration, Magic Resistance",,2,Melee,6,5,,10,Piercing,Melee,6,10,,14,Slashing,Ranged,5,150,150,17,Fire,,,,,,,,,"Akt 1 grapples on a hit, Akt 3 can burn flammable objects",,,,,,,,,,,,,,,,,,,,,
Barlgura,Large,Fiend (Demon),Chaotic Evil,Planar (Abyss),Planar,Abyss,Any,15,85,2,40,,40,,,,4,-2,2,2,3,-1,4,-2,5,2,6,-1,"Perception, Stealth",,,"Cold, Fire, Lightning",Poisoned,Poison,30,120,,,15,"Abyssal, Telepathy",5,"1,800",3,Demonic Restoration,,3,Melee,7,5,,24,"Piercing, Psychic",Melee,7,5,,9,Bludgeoning,,,,,,,,,,,,,,,Akt 2 makes prone,Wisdom,13,"Strength, Wisdom",5,,,"Disguise Self, Invisibility (self)","Entangle, Phantasmal Killer (level 6)",Jumps 40ft using 10ft of movement,,,,,,,,,,,,
Basilisk,Medium,Monstrosity,Unaligned,"Mountain, Underdark","Mountain, Underdark",,Any,15,52,-1,20,,,,,,3,-4,-1,-1,2,-2,3,-4,-1,-1,2,-2,,,,,,,,60,,,9,None,3,700,2,,,1,Melee,5,5,,17,"Piercing, Poison",,,,,,,,,,,,,,,,,,,12,Constitution,,,,,,,,,,Petrifying Gaze recharges on 5-6 30ft cone on fail restrained second fail petrified,,,,,,,,,,,,
Bat,Tiny,Beast,Unaligned,"Mountain, Underdark, Urban","Mountain, Underdark, Urban",,None,12,1,2,5,,,30,,,-4,-4,2,1,-1,-3,-4,-4,2,1,-1,-3,,,,,,,60,,,,11,None,0,10,2,,,1,Melee,4,5,,1,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearded Devil,Medium,Fiend (Devil),Lawful Evil,Planar (Nine Hells),Planar,Nine Hells,Armaments,13,58,2,30,,,,,,3,-1,2,0,2,2,5,-1,2,0,4,4,,,,Cold,"Frightened, Poisoned","Fire, Poison",,120,,,10,"Infernal, Telepathy",3,700,2,Magic Resistance,,2,Melee,5,5,,7,Piercing,Melee,5,10,,8,Slashing,,,,,,,,,,,,,12,Constitution,Akt 2 on fail target loses 5 hp reach round,,,,,,,,,,,,,,,,,,,,,
Behir,Huge,Monstrosity,Neutral Evil,Underdark,Underdark,,Any,17,168,3,50,,50,,,,6,-2,3,2,4,1,6,-2,3,2,4,1,"Perception, Stealth",,,,,Lightning,,90,,,16,Draconic,11,"7,200",4,,,2,Melee,10,10,,30,"Piercing, Lightning",,,,,,,,,,,,,,,,,,,18,"Strength, Dexterity","Constrict within 5ft on fail grappled and restrained, Lightning Breath recharges on 5-6 within 90ft wide and 5ft line on fail 66 lightning damage",,,,,,,,,Swallow one target grappled on fail blinded restrained total cover and 21 acid and fire damage every round,,,,,,,,,,,,
Beholder,Large,Aberration (Beholder),Lawful Evil,Underdark,Underdark,,Arcana,18,190,12,5,,,40,40,,3,3,2,2,4,3,3,3,2,7,9,3,,Perception,,,Prone,,,120,,,22,"Deep Speech, Undercommon",13,"10,000",5,,3,3,Melee,8,5,,13,Piercing,,,,,,,,,,,,,,,,,,,16,"Wisdom, Constitution, Strength, Dexterity","All of the eye rays: 13 psychic damage and charmed, Paralyzed, 14 psychic damage and frightened, 18 necrotic damage 1/2 speed no reactions and either an action or bonus action, 13 poison damage and poisoned, moved up to 30ft and restrained, Unconscious, Restrained on second fail petrified, 36 force damage, 55 necrotic damage and dies if the target is reduced to 0.",,,,,,,,,Antimagic coone,,3,,,"Makes and attack, uses an Eye rays",Yes,"11,500",4,4,13,Wisdom,On fail does not gain benefits of short rest
Beholder Zombie,Large,"Undead (Beholder, Zombie)",Neutral Evil,"Planar (Shadowfell), Underdark, Urban","Planar, Underdark, Urban",Shadowfell,None,15,93,-1,5,,,20,20,,2,-4,-1,-1,3,-3,2,-4,-1,2,3,-3,,,,,"Exhaustion, Poisoned, Prone",Poison,,60,,,9,Understands Deep Speech and Undercommon,5,"1,800",3,Undead Fortitude,,2,Melee,5,5,,16,Piercing,,,,,,,,,,,,,,,,,,,14,"Constitution, Wisdom, Dexterity","Eye Rays: Paralyzing Ray on fail Paralyzed, Fear Ray on fail 13 Psychic damage and frightened, Enervation Ray 10 Necrotic Damage and poisoned , Disintegration Ray on fail 27 Force damage",,,,,,,,,,,,,,,,,,,,,
Berserker,Medium or Smaller,Humanoid,Neutral,Any,Any,,"Armaments, Individual",13,67,1,30,,,,,,3,-1,1,0,3,-1,3,-1,1,0,3,-1,,,,,,,,,,,10,Common,2,450,2,Bloodied Frenzy,,1,Melee,5,5,,9,Slashing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berserker Commander,Medium or Smaller,Humanoid,Neutral,Any,Any,,"Armaments, Individual",16,136,5,40,,,,,,4,0,2,2,4,-1,7,0,2,2,7,-1,"Athletics, Perception",,,,,,,,,,15,Common,8,"3,900",3,Bloodied Frenzy,,3,Melee,7,5,,20,"Slashing, Thunder",Melee,7,5,,18,Piercing,Ranged,7,30/120,30,18,Piercing,,,,,,,,,Atk 2 and Atk 3 on hit target speed reduced by 5,,,,,,,,,Frenzied Rush all allies within 30 ft move up to half their speed with provoking opportunity attacks,,,,,,,,,,,,
Black Bear,Medium,Beast,Unaligned,Forest,Forest,,None,11,19,1,30,,30,,,30,2,-4,1,1,2,-2,2,-4,1,1,2,-2,,Perception,,,,,,60,,,15,None,1/2,100,2,,,2,Melee,4,5,,5,Slashing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Dragon Wyrmling,Medium,Dragon (Chromatic),Chaotic Evil,Swamp,Swamp,,Relics,17,33,4,30,,,60,,30,2,0,2,0,1,1,2,0,4,2,1,1,Stealth,Perception,,,,Acid,10,60,,,14,Draconic,2,450,2,,,2,Melee,4,5,,7,"Slashing, Acid",,,,,,,,,,,,,,,,,,,11,Dexterity,Acid Breath recharges on 5-6 Dex save 15ft 5ft wide line 22 Acid,,,,,,,,,,,,,,,,,,,,,
Black Pudding,Large,Ooze,Unaligned,Underdark,Underdark,,None,7,68,-3,20,,20,,,,3,-5,-3,-2,3,-5,3,-5,-3,-2,3,-5,,,,,"Charmed, Deafened, Exhaustion, Frightened, Grappled, Prone, Restrained","Acid, Cold, Lightning, Slashing",60,,,,8,None,4,"1,100",2,"Amorphous, Corrosive Form, Spider Climb",,1,Melee,5,10,,17,Acid,,,,,,,,,,,,,,,,,,,,,Atk 1 on hit nonmagical armour -1 AC if reduced to 10 AC armour is destroyed,,,,,,,,,,Split it becomes bloddied or hit by lightning or slashing the pudding splits,,,,,,,,,,,
Blink Dog,Medium,Fey,Lawful Good,"Forest, Planar (Feywild)","Forest, Planar",Feywild,None,13,22,3,40,,,,,,1,0,3,1,1,0,1,0,3,1,1,0,Stealth,Perception,,,,,,60,,,15,"Blink Dog, Understands Elvish and Sylvan",1/4,50,2,,,1,Melee,5,5,,5,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teleport recharges 4-6 teleports 40ft,,,,,,,,,,,,
Blob of Annihilation,Gargantuan,Ooze (Titan),Neutral Evil,Any,Any,,Any,18,448,16,30,,,,,,8,0,2,3,9,0,8,0,9,3,16,0,,,,"Bludgeoning, Piercing, Slashing","Charmed, Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Stunned, Unconscious","Acid, Necrotic, Poison",120,,,,13,None,23,"50,000",7,"Astral Implosion, Magic Resistance",4,3,Melee,15,30,,24,Force,,,,,,,,,,,,,,,,,,,23,"Strength, Dexterity","Engulf moves through a creature's space on fail is engulfed total cover 21 force damage every round suffocating restrained if reduced to 0hp dissolved to ash, Restraining Globe within 600ft on fail 18 acid damage moves 60ft to the Globe restrained.",,,,,,,,,,,3,,,"Decay 14 necrotic damage engulfed, Grasping Globe uses restraining Globe, lashing goop make another attack",,,,,,,
Blood Hawk,Small,Beast,Unaligned,"Arctic, Coastal, Forest, Grassland, Hill, Mountain","Arctic, Coastal, Forest, Grassland, Hill, Mountain",,None,12,7,2,10,,,60,,,-2,-4,2,2,0,-3,-2,-4,2,2,0,-3,,,,,,,,,,,9,None,1/8,25,2,Pack Tactics,,1,Melee,4,5,,4,Piercing,,,,,,,,,,,,,,,,,,,,,Does +2 damage if target is bloodied,,,,,,,,,,,,,,,,,,,,,
Blue Dragon Wyrmling,Medium,Dragon (Chromatic),Lawful Evil,"Coastal, Desert","Coastal, Desert",,Relics,17,65,2,30,15,,60,,,3,1,0,0,2,2,3,1,2,2,2,2,Stealth,Perception,,,,Lightning,10,60,,,14,Draconic,3,700,2,,,2,Melee,5,5,,11,"Slashing, Lighting",,,,,,,,,,,,,,,,,,,12,Dexterity,Lightning Breath recharges on 5-6 30ft 5ft wide line 21 lightning,,,,,,,,,,,,,,,,,,,,,
Blue Slaad,Large,Aberration (Slaad),Chaotic Neutral,Planar (Limbo),Planar,Limbo,Any,15,133,2,30,,,,,,5,-2,2,-2,4,-1,5,-2,2,-2,4,-1,Perception,,,"Acid, Cold, Fire, Lightning, Thunder",,,,60,,,11,"Slaad, Telepathy",7,"2,900",3,"Magic Resistance, Regeneration",,3,Melee,8,10,,15,"Slashing, Poison",,,,,,,,,,,,,,,,,,,15,Constitution,Cured and if reduced to 0 target becomes a red slaad or green slaad,,,,,,,,,,,,,,,,,,,,,
Boar,Medium,Beast,Unaligned,"Forest, Grassland, Hill","Forest, Grassland, Hill",,None,11,13,0,40,,,,,,1,-4,0,-1,2,-3,1,-4,0,-1,2,-3,,,,,,,,,,,9,None,1/4,50,2,Bloodied Fury,,1,Melee,3,5,,4,Piercing,,,,,,,,,,,,,,,,,,,,,Charge attack +3 to damage and gives pron condition,,,,,,,,,,,,,,,,,,,,,
Bone Devil,Large,Fiend (Devil),Lawful Evil,Planar (Nine Hells),Planar,Nine Hells,Implements,16,161,7,40,,,40,,,4,1,3,2,4,3,8,5,3,6,4,7,"Deception, Insight",,,Cold,Poisoned,"Fire, Poison",,120,,,12,"Infernal, Telepathy",9,"5,000",4,"Diabolical Restoration, Magic Resistance",,3,Melee,8,10,,13,Slashing,Melee,8,10,,33,"Piercing, Poison",,,,,,,,,,,,,,,Akt 2 on hit target is poisoned,,,,,,,,,,,,,,,,,,,,,
Bone Naga,Large,Undead,Neutral Evil,Underdark,Underdark,,Relics,15,65,3,40,,,,,,2,3,3,2,1,2,2,3,3,2,1,2,,,,,"Charmed, Exhaustion, Paralyzed, Poisoned",Poison,,60,,,12,Common plus another language,4,"1,100",2,,,2,Melee,5,10,,17,"Piercing, Necrotic",,,,,,,,,,,,,,,,,,,13,Wisdom,Serpentine Gaze within 60ft on fail 13 psychic damage and charmed,Intelligence,13,"Dexterity, Wisdom",5,"Mage Hand, Thaumaturgy",,,"Command, Detect Thoughts, Lightning Bolt",,,,,,,,,,,,,
Brass Dragon Wyrmling,Medium,Dragon (Metallic),Chaotic Good,Desert,Desert,,Arcana,15,22,2,30,15,,60,,,2,0,0,0,1,1,2,0,2,2,1,1,Stealth,Perception,,,,Fire,10,60,,,14,Draconic,1,200,2,,,1,Melee,4,5,,7,Slashing,,,,,,,,,,,,,,,,,,,11,"Dexterity, Constitution","Fire Breath recharges on 5-6 20ft 5ft wide line 14 fire damage, Sleep Breath 15ft coone cause incapacitated and possibly unconscious",,,,,,,,,,,,,,,,,,,,,
Brazen Gorgon,Large,Construct,Unaligned,"Forest, Grassland, Hill","Forest, Grassland, Hill",,Any,19,161,2,40,,,,,,4,-4,2,2,4,-2,4,-4,2,2,4,-2,,Perception,,,"Exhaustion, Petrified",Fire,,60,,,20,None,9,"5,000",4,"Flame Aura, Illumination",,2,Melee,8,5,,21,"Piercing, Fire",,,,,,,,,,,,,,,,,,,16,Dexterity,Smelting Charge recharges on 5-6 moves without taking opportunity attack and move through other creature's spaces on fail 26 Piercing and Fire damage and either grappled or prone,,,,,,,,,,,,,,,,,,,,,
Bronze Dragon Wyrmling,Medium,Dragon (Metallic),Lawful Good,Coastal,Coastal,, Implements,15,39,2,30,,,60,,30,3,1,0,0,2,2,3,1,2,2,2,2,Stealth,Perception,,,,Lightning,10,60,,,14,Draconic,2,450,2,Amphibious,,2,Melee,5,5,,8,Slashing,,,,,,,,,,,,,,,,,,,12,"Dexterity, Strength","Lightning Breath recharges on 5-6 40ft 5ft wide line 16 lightning, Repulsion Breath 30ft coone targets are pushed 30ft and are prone",,,,,,,,,,,,,,,,,,,,,
Brown Bear,Medium,Beast,Unaligned,"Arctic, Forest, Hill","Arctic, Forest, Hill",,None,11,22,1,40,,30,,,,3,-4,1,1,2,-2,3,-4,1,1,2,-2,Perception,,,,,,,60,,,13,None,1,200,2,,,2,Melee,5,5,,7,Piercing,Melee,5,5,,5,Slashing,,,,,,,,,,,,,,,Claw attack gives pron condition,,,,,,,,,,,,,,,,,,,,,
Bugbear Stalker,Medium,Fey (Goblinoid),Chaotic Evil,"Forest, Grassland, Planar(Feywild), Underdark","Forest, Grassland, Planar(, Underdark",Feywild,"Armaments, Individual",15,65,2,30,,,,,,3,0,2,1,2,0,3,0,2,3,4,0,Survival,Stealth,,,,,,60,,,11,"Common, Goblin",3,700,2,Abduct,,2,Melee,5,10,,13,Piercing,Ranged,5,30/120,30,13,Piercing,Melee,5,10,,12,Piercing,,,,,,,13,Dexterity,Akt 2 advantage on grappled targets,,,,,,,,,On fail target is grappled,,,,,,,,,,,,
Bugbear Warrior,Medium,Fey (Goblinoid),Chaotic Evil,"Forest, Grassland, Planar( Feywild), Underdark","Forest, Grassland, Planar(, Underdark", Feywild,"Armaments, Individual",14,33,2,30,,,,,,2,-1,2,0,1,-2,2,-1,2,0,1,-2,Survival,Stealth,,,,,,60,,,10,"Common, Goblin",1,200,2,Abduct,,1,Melee,4,10,,9,Bludgeoning,Melee,4,10,,9,Bludgeoning,Ranged,4,20/60,20,9,Bludgeoning,,,,,,,13,Dexterity,"Akt 1 on hit target is grappled, Akt 2 advantage on grappled targets",,,,,,,,,,,,,,,,,,,,,
Bulette,Large,Monstrosity,Unaligned,"Grassland, Hill, Mountain","Grassland, Hill, Mountain",,None,17,94,0,40,40,,,,,4,-4,0,0,5,-3,4,-4,0,0,5,-3,,Perception,,,,,,60,,120,16,None,5,"1,800",3,,,2,Melee,7,5,,17,Piercing,,,,,,,,,,,,,,,,,,,15,Dexterity,Deadly Leap within 15ft on fail 19 bludgeoning damage and prone,,,,,,,,,Leap jump 30ft by spending 10ft,,,,,,,,,,,,
Bulette Pup,Medium,Monstrosity,Unaligned,"Grassland, Hill, Mountain","Grassland, Hill, Mountain",,None,16,45,-1,30,20,,,,,3,-4,-1,0,3,-3,3,-4,-1,0,3,-3,,Perception,,,,,,30,,60,14,None,2,450,2,,,1,Melee,5,5,,14,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leap jump 30ft by spending 10ft,,,,,,,,,,,,
Bullywug Bog Sage,Medium,Fey,Neutral,Swamp,Swamp,,"Implements, Individual",16,52,3,30,,,,,30,-1,0,3,3,2,1,-1,0,3,5,4,1,Stealth,Nature,,,,,,,,,13,"Bullywug, Common, Sylvan",4,"1,100",2,"Amphibious, Speak with Frogs and Toads",,2,Melee,5,5,,17,"Bludgeoning, Poison",Ranged,5,60,60,9,Poisoned,,,,,,,,,,,,,,,Akt 2 is a cast of Ray of Sickness,Wisdom,13,Dexterity,5,"Dancing Lights, Druidcraft, Ray of Sickness",,,"Speak with Plants, Vitriolic Sphere",Jump 30ft with 10ft of movement,,,,,,,,,,,,
Bullywug Warrior,Medium,Fey,Neutral,Swamp,Swamp,,"Implements, Individual",15,11,2,30,,,,,30,1,-2,2,0,1,-2,1,-2,2,0,1,-2,Stealth,,,,,,,,,,10,"Bullywug, Common",1/4,50,2,"Amphibious, Speak with Frogs and Toads",,1,Melee,4,5,,8,"Piercing, Poison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jump 30ft with 10ft of movement,,,,,,,,,,,,
Cambion,Medium,Fiend,Neutral Evil,Any,Any,,Relics,19,105,4,30,,,60,,,4,2,4,1,3,3,7,5,4,1,6,6,"Deception, Perception, Stealth",,,"Cold, Fire, Lightning, Poison",,Poison,,120,,,14,"Abyssal, Common, Infernal",5,"1,800",3,,,2,Melee,7,5,,15,"Slashing,  Fire",Ranged,7,120,120,13,Fire,,,,,,,,,,,,,,,,Charisma,14,Wisdom,6,,,"Alter Self, Command (level 3), Detect Magic","Dominate Person (level 8), Plane Shift (self)",,,,,,,,,,,,,
Camel,Large,Beast,Unaligned,Desert,Desert,,None,10,17,-1,50,,,,,,2,-4,-1,0,3,-3,2,-4,-1,0,5,-3,,,,,,,,60,,,10,None,1/8,25,2,,,1,Melee,4,5,,4,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
